,건물면적,경도,도서관명,도서관유형,시군구명,시도명,열람좌석수,위도,자료수,좌표
146,81.0,127.04378,창1동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,12,37.64833,14855,"37.64833, 127.04378"
147,47.0,127.0356396,창2동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,2,37.6413898,13212,"37.6413898, 127.0356396"
148,50.0,127.04287,창3동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,16,37.63811,10908,"37.63811, 127.04287"
149,26.0,127.05153999999999,창4동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,0,37.6522,14498,"37.6522, 127.05153999999999"
150,318.0,127.0434809,창5동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,42,37.6562098,20056,"37.6562098, 127.0434809"
151,392.0,127.04302390000001,북서울중학교 도서관,학교도서관,서울특별시 도봉구,서울특별시,0,37.6813005,29884,"37.6813005, 127.04302390000001"
152,206.0,127.03857659999998,창북중학교 도서관,학교도서관,서울특별시 도봉구,서울특별시,0,37.649470799999996,26488,"37.649470799999996, 127.03857659999998"
153,218.0,127.04704960000001,도봉구청사 행복작은도서관,작은도서관,서울특별시 도봉구,서울특별시,21,37.6686287,30135,"37.6686287, 127.04704960000001"
154,2743.0,127.0129824,서울특별시교육청도봉도서관(종합자료실),공공도서관,서울특별시 도봉구,서울특별시,78,37.6525847,161366,"37.6525847, 127.0129824"
155,2743.0,127.0129,서울특별시교육청도봉도서관(어린이자료실),공공도서관,서울특별시 도봉구,서울특별시,61,37.652570000000004,56850,"37.652570000000004, 127.0129"
156,2743.0,127.01296629999999,서울특별시교육청도봉도서관(디지털자료실),공공도서관,서울특별시 도봉구,서울특별시,56,37.6527461,11580,"37.6527461, 127.01296629999999"
157,3216.0,127.04388270000001,도봉문화정보도서관(종합자료실),공공도서관,서울특별시 도봉구,서울특별시,80,37.64458079999999,45083,"37.64458079999999, 127.04388270000001"
158,3216.0,127.04388270000001,도봉문화정보도서관(어린이열람실),공공도서관,서울특별시 도봉구,서울특별시,48,37.64458079999999,26012,"37.64458079999999, 127.04388270000001"
159,1498.0,127.0494699,도봉어린이문화정보도서관(영 유아),공공도서관,서울특별시 도봉구,서울특별시,50,37.659007200000005,20095,"37.659007200000005, 127.0494699"
160,4489.0,127.0502436,도봉 기적의 도서관,공공도서관,서울특별시 도봉구,서울특별시,0,37.6807721,20732,"37.6807721, 127.0502436"
161,1498.0,127.0494699,도봉어린이문화정보도서관(디지털자료실),공공도서관,서울특별시 도봉구,서울특별시,8,37.659007200000005,1017,"37.659007200000005, 127.0494699"
162,1498.0,127.0494699,"도봉어린이문화정보센터(자료열람실, 잉글리시 아일랜드)",공공도서관,서울특별시 도봉구,서울특별시,67,37.659007200000005,44710,"37.659007200000005, 127.0494699"
163,1781.0,127.0278197,학마을도서관 (종합자료실),공공도서관,서울특별시 도봉구,서울특별시,36,37.6621078,35368,"37.6621078, 127.0278197"
164,1781.0,127.02781999999999,학마을도서관 (어린이 자료실),공공도서관,서울특별시 도봉구,서울특별시,0,37.66211,21390,"37.66211, 127.02781999999999"
165,103.0,127.03033,방학동영유아플라자,공공도서관,서울특별시 도봉구,서울특별시,0,37.66323,15917,"37.66323, 127.03033"
166,46.0,127.0411,창동영유아플라자,공공도서관,서울특별시 도봉구,서울특별시,0,37.63351,5702,"37.63351, 127.0411"
167,356.0,127.0428608,무수골 도서관,어린이도서관,서울특별시 도봉구,서울특별시,12,37.682958899999996,31848,"37.682958899999996, 127.0428608"
168,105.0,127.04063670000001,방학1동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,13,37.6641869,13328,"37.6641869, 127.04063670000001"
169,60.0,127.0350425,방학2동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,6,37.668177,14298,"37.668177, 127.0350425"
170,269.0,127.02382,방학3동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,26,37.659890000000004,24289,"37.659890000000004, 127.02382"
171,83.0,127.04335690000002,도봉1동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,2,37.678670399999994,15170,"37.678670399999994, 127.04335690000002"
172,53.0,127.0465415,도봉2동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,12,37.6696229,14187,"37.6696229, 127.0465415"
173,90.0,127.02603640000001,쌍문1동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,6,37.6479992,14542,"37.6479992, 127.02603640000001"
174,71.0,127.03875079999999,쌍문2동 공립 작은도서관,작은도서관,서울특별시 도봉구,서울특별시,12,37.6580211,17620,"37.6580211, 127.03875079999999"
175,107.0,126.952155,꿈을이루는작은도서관,작은도서관,마포구,서울특별시,20,37.547105,16827,"37.547105, 126.952155"
176,181.0,126.90231599999998,아름드리작은도서관,작은도서관,마포구,서울특별시,20,37.560313,17834,"37.560313, 126.90231599999998"
177,168.0,126.94236799999999,해오름작은도서관,작은도서관,마포구,서울특별시,32,37.555848,16065,"37.555848, 126.94236799999999"
178,165.0,126.908975,성메작은도서관,작은도서관,마포구,서울특별시,20,37.56861,18208,"37.56861, 126.908975"
179,188.0,126.90142,성산글마루작은도서관,작은도서관,마포구,서울특별시,20,37.569702,15268,"37.569702, 126.90142"
180,174.0,126.95549399999999,늘푸른소나무작은도서관,작은도서관,마포구,서울특별시,20,37.542233,18356,"37.542233, 126.95549399999999"
181,350.0,126.951922,복사골작은도서관,작은도서관,마포구,서울특별시,35,37.539535,14527,"37.539535, 126.951922"
182,190.0,126.94283,용강동작은도서관,작은도서관,마포구,서울특별시,20,37.542328000000005,14426,"37.542328000000005, 126.94283"
183,260.0,126.951225,초록숲작은도서관,작은도서관,마포구,서울특별시,50,37.552161,8852,"37.552161, 126.951225"
184,269.0,126.88051499999999,마포푸르메어린이도서관,공공도서관,마포구,서울특별시,70,37.584644,11465,"37.584644, 126.88051499999999"
185,5131.0,126.908442,마포중앙도서관,공공도서관,마포구,서울특별시,620,37.564019,131407,"37.564019, 126.908442"
186,426.0,126.90161599999999,마포구립하늘도서관,공공도서관,마포구,서울특별시,130,37.566379,37657,"37.566379, 126.90161599999999"
187,1146.0,126.93205900000001,마포구립서강도서관,공공도서관,마포구,서울특별시,209,37.547737,70348,"37.547737, 126.93205900000001"
188,216.48,126.951922,마포어린이영어도서관,어린이도서관,마포구,서울특별시,20,37.539535,20514,"37.539535, 126.951922"
189,221.33,126.90568400000001,꿈나래어린이영어도서관,어린이도서관,마포구,서울특별시,40,37.555234999999996,21690,"37.555234999999996, 126.90568400000001"
190,6667.0,127.05058580000001,성북정보도서관,공공도서관,성북구,서울특별시,480,37.6049514,180835,"37.6049514, 127.05058580000001"
191,2018.0,127.01392859999999,아리랑도서관,공공도서관,성북구,서울특별시,274,37.60005935,148278,"37.60005935, 127.01392859999999"
192,342.0,127.00940259999999,해오름도서관,공공도서관,성북구,서울특별시,70,37.59290593,38922,"37.59290593, 127.00940259999999"
193,578.0,127.03522199999999,종암동새날도서관,공공도서관,성북구,서울특별시,110,37.599036100000006,38397,"37.599036100000006, 127.03522199999999"
194,126.0,127.0138628,서경로꿈마루도서관,작은도서관,성북구,서울특별시,30,37.61146229,8930,"37.61146229, 127.0138628"
195,542.0,127.06549220000001,석관동미리내도서관,공공도서관,성북구,서울특별시,89,37.613479299999995,30967,"37.613479299999995, 127.06549220000001"
196,829.0,127.03098929999999,달빛마루도서관,공공도서관,성북구,서울특별시,130,37.6050584,48346,"37.6050584, 127.03098929999999"
197,283.0,127.01058190000002,정릉도서관,공공도서관,성북구,서울특별시,81,37.60474125,25981,"37.60474125, 127.01058190000002"
198,462.0,127.0107732,청수도서관,공공도서관,성북구,서울특별시,95,37.61174732,30659,"37.61174732, 127.0107732"
199,693.0,127.01362490000001,아리랑어린이도서관,공공도서관,성북구,서울특별시,110,37.59883044,32484,"37.59883044, 127.01362490000001"
200,179.0,127.01683270000001,이음도서관,작은도서관,성북구,서울특별시,30,37.58941179999999,2501,"37.58941179999999, 127.01683270000001"
